Name,Emotional value:,Health value:,Product group:,Energy (kcal),Energy (kJoule),Water,Protein,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Trans fat,Cholesterol,Carbohydrates,Sugars,Polysaccharides,Dietary fiber,Vitamin A (Retinol),Vitamin B1 (Thiamine),Vitamin B (Repulfvin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B11 (Folic acid),Vitamin B12 (Cobalamin),Vitamin C (Ascorbic Acid),Vitamin D (Calcifine),Vitamin E (Tocopherol),Vitamin K (Phyloquinone),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Iron (Fe),Magnesium (Mg),Copper (Cu),Zinc (Zn),Selenium (Se),Iodine (I),Manganese (Mn)
"Marmalade, orange",-,-,Fruit,292,1220,"27,2","0,8","0,5",-,-,-,-,"0,0","70,0",-,-,"0,5","0,00","0,01","0,01",-,-,-,-,"5,0",-,-,-,15,40,"30,0","15,0","0,5","5,00",-,-,-,-,-
"Melons, cantaloupe, fresh",7.5,-,Fruit,47,197,"84,3","0,9","0,3","0,0","0,0","0,0",-,"0,0","7,0","6,5",-,"6,5","1,00","0,04","0,05",-,"0,06",1,"0,00","27,0","0,0",-,-,15,200,"15,0","10,0","0,8","10,00","0,03","0,20",-,-,-
"Nectarines, fresh",7.8,-,Fruit,36,154,"89,2","1,0","0,0","0,0","0,0","0,0",-,"0,0","7,5","7,0",-,"1,3","0,03","0,06","0,04",-,"0,02",0,"0,00","5,0","0,0",-,-,1,175,"10,0","50,0","0,4","10,00",-,"0,10",-,-,-
"Oranges, fresh",8.5,-,Fruit,44,186,"85,2","1,0","0,2","0,0","0,0","0,0",-,"0,0","9,5","8,3",-,"2,1","0,01","0,08","0,04",-,"0,05",20,"0,00","50,0","0,0",-,-,1,170,"40,0","25,0","0,4","10,00","0,06","0,10",-,-,-
"Papayas, fresh",6.3,-,Fruit,45,191,"87,2","0,6","0,1","0,0","0,0","0,0",-,"0,0","9,9","7,5",-,"1,2","0,04","0,04","0,04",-,"0,04",1,"0,00","55,0","0,0",-,-,2,150,"20,0","16,0","0,3","10,00","0,08","0,30",-,-,-
"Passion fruit, purple, fresh",7.1,-,Fruit,120,504,"66,2","2,3","0,7","0,0","0,0","0,0",-,"0,0","22,3","12,0",-,"7,5","0,21","0,02","0,10",-,"0,10",-,"0,00","20,0","0,0",-,-,30,350,"15,0","60,0","1,6","30,00","0,10","0,80",-,-,-
"Peaches, fresh",8.0,-,Fruit,39,162,"87,5","0,8","0,1","0,0","0,0","0,0",-,"0,0","8,7","8,2",-,"0,0","0,01","0,01","0,02",-,"0,02",2,"0,00","9,0","0,0",-,-,1,205,"7,0","23,0","0,2","8,00","0,06","0,10",-,-,-
"Pears, canned, heavy syrup",5.7,-,Fruit,76,322,"79,1","0,3","0,1","0,0","0,0","0,0",-,"0,0","17,5","17,0",-,"2,0","0,00","0,01","0,02",-,"0,01",2,"0,00","2,0","0,0",-,-,6,65,"10,0","8,0","0,4","5,00","0,04","0,06",-,-,-
"Pears, fresh",8.4,-,Fruit,54,229,"84,4","0,5","0,3","0,0","0,0","0,0",-,"0,0","11,0","10,5",-,"2,8","0,00","0,01","0,02",-,"0,01",1,"0,00","3,0","0,0",-,-,6,65,"7,0","8,0","0,4","5,00","0,04","0,07",-,-,-
"Pineapple, fresh",8.4,-,Fruit,61,256,"83,4","0,5","0,2","0,0","0,0","0,0",-,"0,0","13,5","12,4",-,"1,4","0,00","0,06","0,02",-,"0,08",4,"0,00","23,0","0,0",-,-,2,170,"16,0","9,0","0,4","20,00","0,10","0,10",-,-,-
"PlantaIns, fresh",6.1,-,Fruit,137,575,"64,4","1,0","0,2","0,0","0,0","0,0",-,"0,0","31,5","24,0",-,"1,9","0,20","0,05","0,04",-,"0,40",10,"0,00","15,0","0,0",-,-,5,350,"5,0","30,0","1,0","30,00",-,"0,15",-,-,-
