Name,Emotional value,Health value,Product group,Energy (kcal),Energy (kJoule),Water,Protein,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Trans fat,Cholesterol,Carbohydrates,Sugars,Polysaccharides,Dietary fiber,Vitamin A (Retinol),Vitamin B1 (Thiamine),Vitamin B (Repulfvin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B11 (Folic acid),Vitamin B12 (Cobalamin),Vitamin C (Ascorbic Acid),Vitamin D (Calcifine),Vitamin E (Tocopherol),Vitamin K (Phyloquinone),Sodium (Na),Potassium (K),Calcium (Ca),Phosphorus (P),Iron (Fe),Magnesium (Mg),Copper (Cu),Zinc (Zn),Selenium (Se),Iodine (I),Manganese (Mn)
"Cherries, red, sweet, fresh",8.0,,Fruit,54.0,228.0,84.9,0.5,0.1,0.0,0.0,0.0,,0.0,12.0,11.5,,1.5,0.01,0.02,0.02,,0.03,4.0,0.0,5.0,0.0,,,0.0,240.0,10.0,30.0,0.4,10.0,0.1,0.1,,,
"Cranberries, dried, sweetened",5.6,,Fruit,353.0,1475.0,9.1,1.2,0.0,0.0,0.0,0.0,,0.0,83.5,75.0,,5.2,,,,,,,,,,,,,,,,,,,,,,
"Cranberries, fresh",6.0,,Fruit,24.0,104.0,91.0,0.5,0.0,0.0,0.0,0.0,,0.0,4.0,3.5,,3.5,0.0,0.03,0.02,,0.06,2.0,0.0,17.0,0.0,,,1.0,80.0,10.0,10.0,0.5,5.0,0.06,0.12,,,
"Currants, red, fresh",6.8,,Fruit,38.0,163.0,85.1,1.0,0.0,0.0,0.0,0.0,,0.0,4.8,4.2,,8.1,0.0,0.07,0.02,,0.06,10.0,0.0,10.0,0.0,,,1.0,300.0,20.0,40.0,1.0,10.0,0.1,0.15,,,
"Date, candied",5.0,,Fruit,286.0,1195.0,24.2,1.8,0.0,0.0,0.0,0.0,,0.0,65.0,63.5,,8.0,7.0,0.04,0.07,,0.13,4.0,0.0,3.0,0.0,,,35.0,650.0,46.0,57.0,1.9,50.0,0.3,0.3,,,
"Date, fresh",6.3,,Fruit,152.0,638.0,58.8,2.2,0.0,0.0,0.0,0.0,,0.0,33.0,29.0,,5.0,0.0,0.05,0.06,,0.1,20.0,0.0,15.0,0.0,,,10.0,400.0,25.0,30.0,0.3,20.0,0.1,0.2,,,
"Figs, dried, uncooked",5.7,,Fruit,270.0,1128.0,26.7,3.5,1.3,0.0,0.0,0.0,,0.0,54.0,54.0,,13.5,0.01,0.12,0.09,,0.4,7.0,0.0,2.0,0.0,,,40.0,850.0,190.0,110.0,3.3,75.0,0.4,0.9,,,
"Figs, fresh",5.9,,Fruit,64.0,269.0,82.3,1.4,0.2,0.0,0.0,0.0,,0.0,13.0,13.0,,2.1,0.03,0.05,0.05,,0.11,,0.0,2.8,0.0,,,2.0,240.0,55.0,30.0,0.6,17.0,0.07,0.25,,,
"Gooseberries, fresh",7.0,,Fruit,36.0,153.0,90.0,1.0,0.0,0.0,0.0,0.0,,0.0,8.0,7.8,,0.0,0.01,0.02,0.01,,0.08,6.0,0.0,30.0,0.0,,,5.0,200.0,30.0,30.0,1.0,10.0,0.05,0.1,,,
"Grapefruit, fresh",7.4,,Fruit,45.0,191.0,87.2,0.6,0.2,0.0,0.0,0.0,,0.0,9.5,7.5,,1.5,0.0,0.05,0.02,,0.03,15.0,0.0,45.0,0.0,,,1.0,180.0,20.0,17.0,0.3,10.0,0.04,0.17,,,
"Grapes, blue, fresh",7.6,,Fruit,53.0,224.0,85.2,0.9,0.1,0.0,0.0,0.0,,0.0,11.5,11.0,,1.3,0.01,0.03,0.02,,0.1,1.0,0.0,2.5,0.0,,,0.0,190.0,20.0,15.0,0.4,12.0,0.1,0.08,,,
"Grapes, green/white, fresh",7.9,,Fruit,57.0,242.0,84.5,0.5,0.0,0.0,0.0,0.0,,0.0,13.5,13.3,,0.5,0.01,0.04,0.02,,0.1,1.0,0.0,2.0,0.0,,,1.0,180.0,10.0,16.0,0.5,5.0,0.1,0.1,,,
"Guava, fresh",5.2,,Fruit,46.0,195.0,85.8,0.9,0.5,0.0,0.0,0.0,,0.0,7.5,6.0,,4.3,0.07,0.04,0.04,,0.1,,0.0,220.0,0.0,,,5.0,230.0,10.0,25.0,0.4,10.0,0.1,0.2,,,
"Khaki-fruit, fresh",4.2,,Fruit,78.0,327.0,79.5,0.5,0.0,0.0,0.0,0.0,,0.0,18.5,18.3,,0.5,0.2,0.02,0.03,,,,0.0,20.0,0.0,,,1.0,180.0,10.0,20.0,0.4,10.0,0.1,0.1,,,
"Kiwi, fresh",8.4,,Fruit,48.0,205.0,86.8,1.0,0.2,0.0,0.0,0.0,,0.0,10.3,7.5,,0.7,0.06,0.02,0.05,,0.1,20.0,0.0,65.0,0.0,,,4.0,300.0,40.0,30.0,0.8,10.0,0.12,0.1,,,
Kumkwat,4.7,,Fruit,71.0,301.0,80.5,1.0,0.0,0.0,0.0,0.0,,0.0,16.0,15.8,,1.5,0.01,0.15,0.06,,0.06,,0.0,60.0,0.0,,,5.0,180.0,60.0,20.0,0.7,10.0,0.11,0.1,,,
"Lemon, pealed, fresh",6.1,,Fruit,36.0,151.0,89.4,0.5,0.4,0.0,0.0,0.0,,0.0,6.5,3.0,,2.2,0.0,0.06,0.02,,0.04,8.0,0.0,45.0,0.0,,,2.0,150.0,10.0,20.0,0.1,10.0,0.05,0.1,,,
"Limes, fresh",6.0,,Fruit,32.0,135.0,93.0,0.5,2.5,,,,,0.0,2.0,1.9,,,,0.03,0.02,,,,,45.0,,,,2.0,80.0,15.0,11.0,0.2,,,,,,
"Lychee, fresh",6.8,,Fruit,81.0,342.0,78.6,0.9,0.3,0.0,0.0,0.0,,0.0,18.0,16.8,,1.2,0.0,0.05,0.05,,0.04,,0.0,39.0,0.0,,,2.0,180.0,10.0,35.0,0.4,20.0,0.15,0.18,,,
"Mangos, fresh",7.4,,Fruit,61.0,259.0,83.3,1.1,0.3,0.0,0.0,0.1,,0.0,12.8,12.2,,1.5,0.1,0.05,0.05,,0.04,20.0,0.0,36.0,0.0,,,5.0,190.0,12.0,12.0,0.2,10.0,0.1,0.07,,,
"Marmalade, orange",,,Fruit,292.0,1220.0,27.2,0.8,0.5,,,,,0.0,70.0,,,0.5,0.0,0.01,0.01,,,,,5.0,,,,15.0,40.0,30.0,15.0,0.5,5.0,,,,,
"Melons, cantaloupe, fresh",7.5,,Fruit,47.0,197.0,84.3,0.9,0.3,0.0,0.0,0.0,,0.0,7.0,6.5,,6.5,1.0,0.04,0.05,,0.06,1.0,0.0,27.0,0.0,,,15.0,200.0,15.0,10.0,0.8,10.0,0.03,0.2,,,
